Application,Type,Archive,Name,SubPath,Notes
ETC.CommercialInvoices.BizTalk,ReceiveLocation,No,QGM_Invoices,N,
ETC.CommercialInvoices.BizTalk,ReceiveLocation,Yes,QGM_Invoices,N,
ETC.CommercialInvoices.BizTalk,SendPort,Yes,QGM_SAP_Invoices,N,
ETC.FERC735.BizTalk,SendPort,No,EnergyTransferQPTM_FERC735_Transportation,N,
ETC.FERC735.BizTalk,SendPort,Yes,EnergyTransferQPTM_FERC735_Transportation,N,
ETC.FERC735.BizTalk,SendPort,No,RegencyTIPS_FERC735_Transportation,N,
ETC.FERC735.BizTalk,SendPort,Yes,RegencyTIPS_FERC735_Transportation,N,
ETC.FERC735.BizTalk,ReceiveLocation,No,EnergyTransferQPTM_Transportation,N,
ETC.FERC735.BizTalk,ReceiveLocation,Yes,EnergyTransferQPTM_Transportation,N,
ETC.FERC735.BizTalk,ReceiveLocation,No,RegencyTIPS_Transportation,N,
ETC.FERC735.BizTalk,ReceiveLocation,Yes,RegencyTIPS_Transportation,N,
ETC.FERCOasis.BizTalk,SendPort,No,QPTM_Web_OasisCapacity,N,
ETC.FERCOasis.BizTalk,SendPort,Yes,QPTM_Web_OasisCapacity,N,
ETC.FERCOasis.BizTalk,SendPort,No,QPTM_Web_OasisCrosshaul,N,
ETC.FERCOasis.BizTalk,SendPort,Yes,QPTM_Web_OasisCrosshaul,N,
ETC.FERCOasis.BizTalk,ReceiveLocation,No,QPTM_OasisCapacity,N,
ETC.FERCOasis.BizTalk,ReceiveLocation,Yes,QPTM_OasisCrosshaul,N,
ETC.FERCOasis.BizTalk,ReceiveLocation,No,QPTM_OasisCapacity,N,
ETC.FERCOasis.BizTalk,ReceiveLocation,Yes,QPTM_OasisCrosshaul,N,
ETC.QGMDeals.BizTalk,SendPort,No,QGM_ROME_BuySellDeals,N,
ETC.QGMDeals.BizTalk,SendPort,Yes,QGM_ROME_BuySellDeals,N,
ETC.QGMDeals.BizTalk,ReceiveLocation,No,QGM_BuySellDeals,N,
ETC.QGMDeals.BizTalk,ReceiveLocation,Yes,QGM_BuySellDeals,N,
ETC.QPTM.ScheduleVolume.BizTalk,SendPort,No,QPTM_AES_ScheduledVolume,N,
ETC.QPTM.ScheduleVolume.BizTalk,SendPort,No,QPTM_CygNetHPL_ScheduledVolume,N,
ETC.QPTM.ScheduleVolume.BizTalk,SendPort,Yes,QPTM_AES_ScheduledVolume,N,
ETC.QPTM.ScheduleVolume.BizTalk,SendPort,Yes,QPTM_CygNetHPL_ScheduledVolume,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_28,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_28,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_149,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_149,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_150,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_150,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_191,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_191,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_283,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_283,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_439,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_439,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_445,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_445,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_424,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_424,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_489,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_489,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_18,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_18,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,No,QPTM_ScheduledVolume_39,N,
ETC.QPTM.ScheduleVolume.BizTalk,ReceiveLocation,Yes,QPTM_ScheduledVolume_39,N,
ETC.QPTMImbalances.BizTalk,SendPort,No,QPTM_ROME_Imbalances,N,
ETC.QPTMImbalances.BizTalk,SendPort,Yes,QPTM_ROME_Imbalances,N,
ETC.QPTMImbalances.BizTalk,ReceiveLocation,No,QPTM_Imbalances,N,
ETC.QPTMImbalances.BizTalk,ReceiveLocation,Yes,QPTM_Imbalances,N,
ETC.QuorumInvoices.BizTalk,ReceiveLocation,No,QPTM_Invoices,N,
ETC.QuorumInvoices.BizTalk,ReceiveLocation,Yes,QPTM_Invoices,N,
ETC.QuorumInvoices.BizTalk,SendPort,Yes,QGM_SAP_Invoices,N,
ETC.QuorumInvoices.BizTalk,SendPort,Yes,QPTM_SAP_Invoices,N,
ETC.SAPDocumentPost.BizTalk,SendPort,Yes,SAPDoc_SAP_SAPDocumentPost,N,
